name,calories,protein,carbs,fat,category
Shepherd's pie (with minced meat),142.78,7.45,8.06,8.88,General
Chicken curry,129.22,11.79,3.38,7.57,General
Tandoori chicken,145.2,16.26,2.34,7.93,General
Butter chicken,137.0,10.92,3.74,8.7,General
Chicken kebab,729.41,3.71,1.11,78.89,General
Chilli chicken,198.83,9.57,2.86,16.56,General
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,11.48,2.51,7.61,General
Fish curry (Machli curry),111.13,8.76,3.77,6.69,General
Fried fish (Indian style) (Tali hui machli),658.54,4.35,5.4,68.88,General
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,3.36,2.77,69.69,General
Tomato fish,489.79,2.39,3.18,51.91,General
Baked fish with cheese sauce,113.96,8.64,4.06,7.02,General
Fish tikka,117.33,16.0,3.91,4.15,General
Tandoori fish,95.98,11.19,2.37,4.64,General
"Paneer, apple and pineapple salad",95.08,3.88,8.35,5.07,General
Russian salad,114.83,4.26,6.5,7.84,General
Pasta salad,190.36,4.15,12.7,13.92,General
Deviled egg,98.56,4.97,2.23,7.72,General
Hawain salad,175.23,4.27,14.35,11.37,General
Mixed pulse and vegetable salad,83.12,4.74,13.96,0.84,General
Sprouted moong salad ,37.81,2.29,5.48,0.74,General
Tossed salad,62.96,1.02,4.95,4.22,General
Mixed vegetable salad with curd sauce,60.28,4.23,7.03,1.5,General
Potato salad (Aloo ka salaad),89.91,1.4,11.19,4.4,General
Waldroff salad,141.75,1.47,11.02,10.05,General
Coleslaw,76.71,1.24,5.59,5.32,General
Fruit salad (Phalon ka salaad),78.14,0.91,15.96,1.22,General
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,3.74,7.08,1.84,General
Peanut raita (Mungfali ka raita),150.39,8.59,9.3,8.98,General
Sprouted moong raita ,60.89,4.62,6.13,2.19,General
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,3.98,5.76,2.07,General
Cucumber raita (Kheere ka raita),59.13,4.04,6.35,2.08,General
Carrot and spinach raita (Gajar aur palak ka raita),56.83,4.0,5.83,1.99,General
Mint raita (Pudinay ka raita),77.59,5.64,7.65,2.96,General
Potato raita (Aloo ka raita),75.38,4.22,10.24,2.04,General
Boondi raita,687.72,2.19,3.96,73.83,General
Sweet raita (Meetha raita),99.24,3.24,17.93,1.78,General
Dahi vadas/Dahi bhalla,667.73,2.96,5.49,70.4,General
Gunjia,667.34,2.98,5.68,70.28,General
Saunth/Sonth chutney with tamarind/imli,141.53,1.01,33.55,0.15,General
Rice kheer (Chawal ki kheer),75.03,2.3,10.05,2.97,General
Makhana kheer,107.85,3.31,12.88,5.0,General
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,3.35,15.87,5.0,General
Semolina kheer (Suji/Rava kheer),113.21,3.43,15.88,4.2,General
Paneer kheer,105.31,4.53,10.03,5.37,General
Cabbage kheer (Pattagobhi ki kheer),83.51,2.87,9.73,3.8,General
Carrot kheer (Gajar ki kheer),85.35,2.81,10.09,3.85,General
Cauliflower kheer (Phoolgobhi ki kheer),81.95,3.04,8.78,3.95,General
Moong dal kheer,77.16,2.95,9.89,2.97,General
Phirni,116.12,3.49,16.11,4.34,General
Semolina halwa (Suji ka halwa),225.65,2.16,24.67,13.38,General
Shahi suji halwa,382.34,3.48,44.44,21.73,General
Carrot halwa (Gajar ka halwa),172.64,3.11,18.53,9.73,General
Egg halwa (Ande ka halwa),299.74,7.85,39.59,13.41,General
Potato halwa (Aloo ka halwa),151.66,1.53,29.18,3.48,General
Pumpkin halwa (Kaddu ka halwa),190.27,1.33,27.6,8.81,General
Moong dal halwa,349.8,8.35,40.23,17.68,General
Caramel custard (steamed),121.58,4.97,15.02,4.87,General
Baked custard,106.53,5.41,9.45,5.3,General
Soft Custard (stirred),109.18,5.01,11.19,5.07,General
Chocolate ice cream,177.7,4.47,15.41,11.25,General
Mango ice cream,125.69,3.4,11.14,7.62,General
Fruit Ice cream (Phalon ka Ice cream),171.46,4.37,16.05,10.38,General
Caramel ice cream,173.52,4.31,14.81,11.15,General
Lemon souffle,168.51,6.95,13.43,10.02,General
Orange souffle,168.28,6.8,14.2,9.73,General
Vanilla souffle,187.85,7.71,14.78,11.19,General
Chocolate souffle,189.32,7.88,14.74,11.36,General
